Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0    0  2900  1600  5000    9500   1474   781  2503    4758     1426   819  2497    4742              0           0
 0    1  6690  1466  4654   12810   3472   730  2339    6541     3218   736  2315    6269             19        1161
 0    2  5699  1336  4308   11343   3153   674  2180    6007     2546   662  2128    5336             20        2549
 0    3  3023  3044  4011   10078   1762  1735  2040    5537     1261  1309  1971    4541              0           0
 0    4  6854  2784  3717   13355   3694  1592  1898    7184     3160  1192  1819    6171              0           0
 0    5  7502  2545  3463   13510   4104  1462  1760    7326     3398  1083  1703    6184             20        2677
 0    6  4407  4288  3207   11902   2395  2709  1634    6738     2012  1579  1573    5164             19        2914
 0    7  3764  3087  3827   10678   2202  2048  1987    6237     1562  1039  1840    4441              0           0
 0    8  7018  2813  3559   13390   3832  1880  1855    7567     3186   933  1704    5823              0           0
 0    9  5624  4485  3305   13414   2903  3001  1727    7631     2721  1484  1578    5783             20        2694
 0   10  4044  4878  3042   11964   2193  3269  1570    7032     1851  1609  1472    4932             18        2386
 0   11  3421  3583  3719   10723   1999  2475  2014    6488     1422  1108  1705    4235              0           0
 0   12  6794  3291  3423   13508   3734  2285  1866    7885     3060  1006  1557    5623              0           0
 0   13  5563  4738  3198   13499   2965  3209  1751    7925     2598  1529  1447    5574             19        2738
 0   14  3974  4037  3933   11944   2193  2694  2322    7209     1781  1343  1611    4735             18        2387
 0   15  3382  3729  3629   10740   2004  2499  2146    6649     1378  1230  1483    4091              0           0
 0   16  6876  3455  3341   13672   3778  2325  1986    8089     3098  1130  1355    5583              0           0
 0   17  5591  3931  4077   13599   2928  2663  2503    8094     2663  1268  1574    5505             19        2682
 0   18  4036  3901  4173   12110   2182  2629  2611    7422     1854  1272  1562    4688             20        2251
 0   19  3460  3600  3873   10933   2020  2447  2439    6906     1440  1153  1434    4027              0           0
 0   20  6798  3337  3603   13738   3785  2286  2269    8340     3013  1051  1334    5398              0           0
 0   21  5529  3971  4301   13801   2891  2717  2738    8346     2638  1254  1563    5455             20        2736
 0   22  4075  3953  4364   12392   2187  2694  2797    7678     1888  1259  1567    4714             19        2323
 0   23  3457  3679  4045   11181   2005  2523  2608    7136     1452  1156  1437    4045              0           0
 0   24  6669  3387  3751   13807   3639  2330  2403    8372     3030  1057  1348    5435              0           0
 0   25  5360  4003  4395   13758   2758  2707  2901    8366     2602  1296  1494    5392             20        2668
 0   26  3885  3997  4426   12308   2106  2679  2931    7716     1779  1318  1495    4592             19        2277
 0   27  3309  3676  4099   11084   1924  2488  2727    7139     1385  1188  1372    3945              0           0
 0   28  6802  3382  3812   13996   3653  2296  2548    8497     3149  1086  1264    5499              0           0
 0   29  5491  3861  4487   13839   2888  2569  3024    8481     2603  1292  1463    5358             19        2681
 0   30  3995  3856  3980   11831   2211  2547  2780    7538     1784  1309  1200    4293             19        2240
 0   31  3418  3554  3682   10654   2020  2358  2572    6950     1398  1196  1110    3704              0           0
 0   32  6579  3270  3441   13290   3693  2180  2405    8278     2886  1090  1036    5012              0           0
